SiO2(wt%),TiO2(wt%),Al2O3(wt%),FeOT(wt%),CaO(wt%),MgO(wt%),MnO(wt%),P2O5(wt%),Na2O+K2O,Na2O+K2O/SiO2
65.66,1.18,12.85,6.11,2.53,0.99,0.12,0.32,7.82,0.1190983856
68.448,0.875,13.612,3.967,1.767,0.436,0.081,0.206,8.716,0.1273375409
65.43,0.69,15.03,3.62,1.43,1.14,0.14,0.15,7.94,0.1213510622
67.5,0.59,16.31,2.58,1.9,0.7,0.08,0.12,9.31,0.1379259259
62.82,1.67,14.68,5.76,4.18,1.69,0.1,0.65,7.81,0.1243234639
67.31,0.6,16.1,3.1,2.05,0.82,0.08,0.13,9.45,0.1403951865
66.16,0.57,16.75,2.68,2.37,0.73,0.07,0.12,9.35,0.1413240629
45.9,0.72,13.35,8.93,9.09,5.98,0.17,0.53,6.63,0.1444444444
45.73,3.39,16.22,11.61,9.1,4.95,0.213,0.9,7.89,0.1725344413
47.08,1.1,16.04,6.85,11.06,5.27,0.14,1.03,8.07,0.1714103653
43.39,5.4,12.66,13.08,11.92,6.1,0.21,1.23,6,0.1382807098
48.4,0.89,15.2,8.85,8.45,4.34,0.16,0.45,7.61,0.157231405
45.6,1.38,12.3,8.37,11,11.4,0.15,1.04,5.73,0.1256578947
42.9,1.72,12.6,8.86,9.47,6.25,0.17,1.5,5.85,0.1363636364
48.41,2.3,15.32,8.72,8.63,6.47,0.17,0.69,7.2,0.1487296013
46.38,2.94,15.18,11.18,9.08,5.5,0.17,0.62,6.35,0.1369124623
43.1,2.91,16.4,10.8,11.5,6.6,0.27,0.68,6.57,0.1524361949
47.46,3.06,17.37,9.06,7.5,3.09,0.26,0.74,7.38,0.1554993679
41.399,2.762,14.71,9.73,11.7,4.883,0.202,0.615,6.024,0.1455107611
42,1.9,12.5,11.43,10,5.7,0.2,1.5,7.4,0.1761904762
47.34,3.26,16.75,10.3,8.89,3.98,0.21,1.34,6.78,0.1432192649
42.1,1.4,9.9,7.5,11.2,16.4,0.1,1.2,6.7,0.1591448931
44.95,3.24,16.21,10.3,10.05,3.51,0.22,0.79,6.79,0.1510567297
43.71,1.94,13.37,9.83,9.4,13.3,0.17,0.77,5.46,0.1249142073
43.1,2.1,11.8,12.6,12.1,6.8,0.3,1.3,5.5,0.1276102088
45,1.4,12.9,8.26,11.4,10.6,0.15,1.11,5.66,0.1257777778
45.313,2.464,16.246,8.92,8.904,4.303,0.24,0.478,7.854,0.1733277426
42.71,0.84,17.61,10.19,12.87,3.86,0.27,0.47,5.72,0.1339264809
45.18,1.1,16.7,8.43,7.4,5.08,0.19,0.62,7.15,0.1582558654
45.85,2.873,15.83,9.49,10.05,3.119,0.2622,0.9674,7.113,0.1551363141
45.94,0.79,18.27,7.45,11.86,5.95,0.13,0.41,8.36,0.1819764911
45.9,0.76,14,9.09,10.15,5.61,0.17,0.51,6.37,0.1387799564
43.72,1.96,13.73,9.8,9.3,12.7,0.17,0.78,5.68,0.1299176578
43.28,1.92,13.12,9.79,9.4,13.5,0.17,0.76,5.32,0.1229205176
47.2,0.78,14.65,9.36,10,5.83,0.18,0.56,6.79,0.1438559322
42,3.1,10.9,12.51,10.5,10.9,0.2,1.5,6.04,0.1438095238
46.75,2.02,15.67,7.82,8.91,6.75,0.21,0.5,7.27,0.1555080214
42.5,4.46,13.55,12.52,9.87,5.27,0.28,0.7,5.7,0.1341176471
44.4,3.65,15.16,12.1,10.67,7.5,0.19,0.76,5.46,0.122972973
47.5,2.84,17.1,8.55,9.1,3.9,0.13,1.2,7.1,0.1494736842
48.9,1.23,13.25,7.08,9.37,5.92,0.14,1.14,7.16,0.1464212679
42,3,10.8,12.69,10,11.4,0.23,1.38,6.19,0.1473809524
43.88,3.46,16.71,11.27,10.15,4.22,0.18,1.16,5.64,0.128532361
43.6,3.77,15.9,12.87,8.82,5.4,0.23,1.21,6.61,0.1516055046
43.2,2.84,17.1,10.26,11.3,4.8,0.24,1.3,7.75,0.1793981481
42.37,4.65,14.4,12.18,9.12,4.93,0.16,1.5,5.67,0.1338210998
43.18,3.84,16.77,12.13,9.27,4.67,0.18,0.65,5.66,0.1310792033
44.18,4.11,14.99,11.12,9.94,5.53,0.17,0.94,5.81,0.1315074694
47.4,2.031,12.29,7.93,10.93,8.99,0.127,2.1,7.76,0.1637130802
48.01,2.03,14.93,10.98,8.71,7.27,0.2,0.46,7.41,0.1543428452
45.7,1.14,16.67,9.3,11.61,4.93,0.19,0.87,7.63,0.1669584245
46.29,1.955,16.1,11.92,8.46,5.09,0.179,0.54,7.957,0.1718945777
44.5,3.54,14.8,10.26,9.85,5.34,0.17,0.81,5.69,0.1278651685
47.88,2.6,17.47,12.52,6.09,3.19,0.19,1.049,7.22,0.1507936508
47.1,3.67,16.5,12.24,8.1,1.27,0.33,1.38,7.37,0.1564755839
44.71,1.5,16.46,6.36,9.4,5.02,0.16,0.65,7.77,0.1737866249
48.44,2.61,16.64,10.62,7.83,3.86,0.15,0.84,7.24,0.1494632535
41.75,2.42,12.89,12.52,12.19,8.12,0.21,1.71,6.29,0.1506586826
43.65,1.92,13.25,9.84,9.24,13.3,0.16,0.76,5.43,0.1243986254
45.02,3.27,16.4,12.12,9.56,4.96,0.21,1.06,7.4,0.1643713905
41.2,4.83,10.54,12.77,10.28,3.54,0.45,1.2,5.97,0.1449029126
42.34,3.69,14.78,11.28,11.96,6.88,0.19,0.92,5.86,0.138403401
45.47,2.9,12.53,12.03,8.21,6.92,0.16,0.38,8.39,0.1845172641
45.09,2.27,15.17,10.41,7.84,9.33,0.16,0.87,6.23,0.1381681082
